time,currency,event,impact
03:00:00,GBP,Halifax HPI m/m,high
05:00:00,EUR,Revised GDP q/q,low
08:30:00,NZD,GDT Price Index,low
10:00:00,CAD,Ivey PMI,high
16:30:00,AUD,RBA Deputy Gov Lowe Speaks,medium
17:22:00,AUD,AIG Construction Index,low
19:00:00,GBP,BRC Shop Price Index y/y,low
19:30:00,AUD,GDP q/q,high
