time,currency,event,impact
01:00:00,JPY,Consumer Confidence,low
02:00:00,EUR,German Final CPI m/m,low
02:45:00,EUR,French Final CPI m/m,low
03:30:00,USD,FOMC Member Yellen Speaks,medium
04:00:00,EUR,ECB Monthly Bulletin,medium
08:30:00,CAD,Trade Balance,high
08:30:00,CAD,NHPI m/m,medium
08:30:00,USD,Trade Balance,high
08:30:00,USD,Unemployment Claims,high
08:30:00,USD,Import Prices m/m,medium
10:00:00,USD,FOMC Member Stein Speaks,medium
10:30:00,USD,Natural Gas Storage,low
11:00:00,USD,Crude Oil Inventories,medium
13:00:00,USD,30-y Bond Auction,low
19:50:00,JPY,Tertiary Industry Activity m/m,medium
19:50:00,JPY,M2 Money Stock y/y,low
19:50:00,JPY,PPI y/y,low
01:01:00,All,IMF Meetings,medium
