time,currency,event,impact
00:30:00,JPY,Revised Industrial Production m/m,low
04:30:00,GBP,MPC Asset Purchase Facility Votes,high
04:30:00,GBP,MPC Official Bank Rate Votes,high
05:06:00,EUR,German 10-y Bond Auction,medium
08:30:00,CAD,Wholesale Sales m/m,medium
08:30:00,USD,CPI m/m,high
08:30:00,USD,Core CPI m/m,high
10:00:00,USD,Mortgage Delinquencies,medium
10:30:00,USD,Crude Oil Inventories,medium
11:00:00,EUR,ECB President Trichet Speaks,medium
13:30:00,EUR,German Buba President Weber Speaks,medium
14:00:00,USD,FOMC Meeting Minutes,high
14:45:00,GBP,Chancellor Osborne Speaks,low
19:50:00,JPY,Prelim GDP q/q,high
19:50:00,JPY,Prelim GDP Price Index y/y,medium
21:00:00,AUD,MI Inflation Expectations,medium
22:00:00,NZD,Annual Budget Release,high
