time,currency,event,impact
02:00:00,EUR,German Final CPI m/m,low
02:00:00,EUR,German WPI m/m,low
02:45:00,EUR,French Final CPI m/m,low
04:30:00,GBP,Goods Trade Balance,high
04:30:00,GBP,ONS HPI y/y,low
05:40:00,GBP,30-y Bond Auction,low
07:30:00,USD,NFIB Small Business Index,low
08:30:00,CAD,Trade Balance,high
08:30:00,CAD,NHPI m/m,medium
08:30:00,USD,Trade Balance,high
08:30:00,USD,Import Prices m/m,medium
10:00:00,USD,IBD/TIPP Economic Optimism,low
10:45:00,USD,FOMC Member Tarullo Speaks,low
12:45:00,USD,Treasury Sec Geithner Speaks,medium
18:45:00,NZD,Core Retail Sales m/m,high
18:45:00,NZD,Retail Sales m/m,medium
19:00:00,USD,Fed Chairman Bernanke Speaks,high
20:30:00,AUD,Westpac Consumer Sentiment,medium
