time,currency,event,impact
01:00:00,JPY,BOJ Monthly Report,medium
01:00:00,JPY,Economy Watchers Sentiment,low
01:45:00,CHF,Unemployment Rate,low
02:00:00,JPY,Prelim Machine Tool Orders y/y,low
02:45:00,EUR,French Gov Budget Balance,low
02:45:00,EUR,French Trade Balance,low
04:00:00,GBP,Halifax HPI m/m,high
04:30:00,GBP,Manufacturing Production m/m,high
04:30:00,GBP,Industrial Production m/m,low
05:00:00,EUR,Retail Sales m/m,medium
06:00:00,EUR,German Industrial Production m/m,medium
07:00:00,GBP,Asset Purchase Facility,high
07:00:00,GBP,Official Bank Rate,high
07:45:00,EUR,Main Refinancing Rate,high
08:30:00,EUR,ECB Press Conference,high
08:30:00,USD,Unemployment Claims,high
08:30:00,USD,FOMC Member Duke Speaks,low
10:00:00,GBP,NIESR GDP Estimate,medium
10:30:00,USD,FOMC Member Tarullo Speaks,low
10:30:00,USD,Natural Gas Storage,low
13:00:00,USD,30-y Bond Auction,low
16:00:00,USD,FOMC Member Kohn Speaks,medium
19:30:00,AUD,AIG Construction Index,low
20:30:00,USD,Fed Chairman Bernanke Speaks,high
