time,currency,event,impact
02:00:00,CHF,Trade Balance,medium
02:00:00,EUR,German PPI m/m,medium
02:35:00,JPY,BOJ Gov Shirakawa Speaks,medium
04:30:00,GBP,Retail Sales m/m,high
04:51:00,EUR,Spanish 10-y Bond Auction,medium
05:00:00,CHF,Credit Suisse Economic Expectations,medium
08:30:00,CAD,Wholesale Sales m/m,medium
08:30:00,USD,Unemployment Claims,high
10:00:00,EUR,Consumer Confidence,low
10:00:00,USD,Existing Home Sales,high
10:00:00,USD,Philly Fed Manufacturing Index,high
10:00:00,USD,CB Leading Index m/m,low
10:30:00,USD,Natural Gas Storage,low
18:00:00,USD,FOMC Member Tarullo Speaks,low
18:04:00,NZD,Visitor Arrivals m/m,low
19:01:00,GBP,Nationwide Consumer Confidence,medium
20:00:00,USD,FOMC Member Kocherlakota Speaks,medium
20:30:00,AUD,Import Prices q/q,medium
22:00:00,NZD,Credit Card Spending y/y,low
