time,currency,event,impact
12:00:00,EUR,ECB President Trichet Speaks,medium
16:45:00,NZD,Core Retail Sales m/m,high
16:45:00,NZD,Retail Sales m/m,medium
16:45:00,NZD,Core Retail Sales q/q,low
16:45:00,NZD,Retail Sales q/q,low
18:50:00,JPY,Prelim GDP q/q,high
18:50:00,JPY,Prelim GDP Price Index y/y,medium
19:30:00,AUD,Home Loans m/m,high
23:07:00,CNY,USD-Denominated Trade Balance,high
