time,currency,event,impact
01:01:00,EUR,Italian Bank Holiday,holiday
04:00:00,EUR,Retail PMI,low
04:30:00,GBP,Net Lending to Individuals m/m,medium
04:30:00,GBP,Index of Services 3m/3m,low
04:30:00,GBP,M4 Money Supply m/m,low
04:30:00,GBP,Mortgage Approvals,low
05:30:00,CHF,KOF Economic Barometer,high
07:00:00,CAD,Core CPI m/m,high
07:00:00,CAD,CPI m/m,medium
09:00:00,USD,Fed Announcement,medium
09:03:00,EUR,Greek Gov Debt Crisis Vote,high
10:00:00,USD,Pending Home Sales m/m,high
10:30:00,USD,Crude Oil Inventories,medium
12:00:00,USD,FOMC Member Raskin Speaks,medium
18:45:00,NZD,Building Consents m/m,high
19:00:00,GBP,GfK Consumer Confidence,medium
19:15:00,JPY,Final Manufacturing PMI,low
21:00:00,NZD,Final ANZ Business Confidence,high
21:30:00,AUD,Private Sector Credit m/m,medium
22:00:00,NZD,RBNZ Statement of Intent,medium
