currency,date
AUD,2012 Sep 30
CNY,2012 Sep 30
CAD,2009 Jul 1
USD,2009 Jul 3
EUR,2009 Jul 14
JPY,2009 Jul 19
NZD,2011 Apr 2
AUD,2011 Apr 2
CNY,2011 Apr 3
CNY,2011 Apr 4
NZD,2011 Apr 21
AUD,2011 Apr 21
CHF,2011 Apr 22
EUR,2011 Apr 22
GBP,2011 Apr 22
CAD,2011 Apr 22
NZD,2011 Apr 24
AUD,2011 Apr 24
CHF,2011 Apr 25
EUR,2011 Apr 25
EUR,2011 Apr 25
EUR,2011 Apr 25
GBP,2011 Apr 25
AUD,2011 Apr 25
JPY,2011 Apr 28
GBP,2011 Apr 29
CAD,2019 Jul 1
USD,2019 Jul 4
JPY,2019 Jul 14
CNY,2009 Oct 1
AUD,2009 Oct 3
AUD,2009 Oct 4
CNY,2009 Oct 4
CNY,2009 Oct 5
CNY,2009 Oct 6
CNY,2009 Oct 7
JPY,2009 Oct 11
CAD,2009 Oct 12
USD,2009 Oct 12
CHF,2009 Oct 24
EUR,2009 Oct 24
GBP,2009 Oct 24
NZD,2009 Oct 25
NZD,2011 Jan 2
AUD,2011 Jan 2
JPY,2011 Jan 2
CHF,2011 Jan 3
EUR,2011 Jan 3
EUR,2011 Jan 3
GBP,2011 Jan 3
CAD,2011 Jan 3
NZD,2011 Jan 3
EUR,2011 Jan 6
JPY,2011 Jan 9
USD,2011 Jan 17
AUD,2011 Jan 25
CHF,2011 Aug 1
CAD,2011 Aug 1
EUR,2011 Aug 15
EUR,2011 Aug 15
GBP,2011 Aug 29
CAD,2012 Mar 11
USD,2012 Mar 11
JPY,2012 Mar 19
CHF,2012 Mar 24
EUR,2012 Mar 24
GBP,2012 Mar 24
NZD,2012 Mar 31
AUD,2012 Mar 31
CNY,2017 Feb 1
NZD,2017 Feb 5
USD,2017 Feb 20
AUD,2022 Oct 1
AUD,2022 Oct 2
CNY,2022 Oct 2
EUR,2022 Oct 3
CNY,2022 Oct 3
CNY,2022 Oct 4
CNY,2022 Oct 5
CNY,2022 Oct 6
JPY,2022 Oct 9
CAD,2022 Oct 10
USD,2022 Oct 10
NZD,2022 Oct 23
CHF,2022 Oct 28
EUR,2022 Oct 28
GBP,2022 Oct 28
CAD,2015 Mar 8
USD,2015 Mar 8
CHF,2015 Mar 28
EUR,2015 Mar 28
GBP,2015 Mar 28
AUD,2016 Oct 1
AUD,2016 Oct 2
CNY,2016 Oct 2
EUR,2016 Oct 3
CNY,2016 Oct 3
CNY,2016 Oct 4
CNY,2016 Oct 5
CNY,2016 Oct 6
JPY,2016 Oct 9
CAD,2016 Oct 10
USD,2016 Oct 10
NZD,2016 Oct 23
CHF,2016 Oct 29
EUR,2016 Oct 29
GBP,2016 Oct 29
CHF,2014 Aug 1
AUD,2014 Aug 3
CAD,2014 Aug 4
EUR,2014 Aug 15
EUR,2014 Aug 15
GBP,2014 Aug 25
CHF,2020 Jan 1
EUR,2020 Jan 1
EUR,2020 Jan 1
EUR,2020 Jan 1
GBP,2020 Jan 1
CAD,2020 Jan 1
USD,2020 Jan 1
NZD,2020 Jan 1
JPY,2020 Jan 1
CHF,2020 Jan 2
JPY,2020 Jan 2
EUR,2020 Jan 6
JPY,2020 Jan 12
USD,2020 Jan 20
AUD,2020 Jan 26
CNY,2020 Jan 26
CNY,2020 Jan 27
CNY,2020 Jan 28
CNY,2020 Jan 29
CNY,2020 Jan 30
CAD,2017 Mar 12
USD,2017 Mar 12
JPY,2017 Mar 19
CHF,2017 Mar 25
EUR,2017 Mar 25
GBP,2017 Mar 25
CAD,2016 Sep 5
USD,2016 Sep 5
CNY,2016 Sep 14
CNY,2016 Sep 15
JPY,2016 Sep 18
JPY,2016 Sep 21
NZD,2016 Sep 24
CHF,2013 May 1
EUR,2013 May 1
EUR,2013 May 1
EUR,2013 May 1
JPY,2013 May 2
JPY,2013 May 5
GBP,2013 May 6
EUR,2013 May 8
CHF,2013 May 9
EUR,2013 May 9
EUR,2013 May 9
CHF,2013 May 20
EUR,2013 May 20
EUR,2013 May 20
CAD,2013 May 20
GBP,2013 May 27
USD,2013 May 27
CAD,2013 Sep 2
USD,2013 Sep 2
JPY,2013 Sep 15
CNY,2013 Sep 18
CNY,2013 Sep 19
JPY,2013 Sep 22
NZD,2013 Sep 28
CNY,2013 Sep 30
CAD,2016 Mar 13
USD,2016 Mar 13
JPY,2016 Mar 20
NZD,2016 Mar 24
AUD,2016 Mar 24
CHF,2016 Mar 25
EUR,2016 Mar 25
GBP,2016 Mar 25
CAD,2016 Mar 25
CHF,2016 Mar 26
EUR,2016 Mar 26
GBP,2016 Mar 26
NZD,2016 Mar 27
AUD,2016 Mar 27
CHF,2016 Mar 28
EUR,2016 Mar 28
EUR,2016 Mar 28
EUR,2016 Mar 28
GBP,2016 Mar 28
EUR,2015 Jun 2
AUD,2015 Jun 7
CNY,2015 Jun 21
EUR,2015 Jun 29
NZD,2013 Feb 5
JPY,2013 Feb 10
CNY,2013 Feb 10
CNY,2013 Feb 11
CNY,2013 Feb 12
CNY,2013 Feb 13
CNY,2013 Feb 14
USD,2013 Feb 18
NZD,2008 Jun 1
EUR,2008 Jun 2
AUD,2008 Jun 8
CNY,2008 Jun 8
NZD,2014 Jun 1
CNY,2014 Jun 1
EUR,2014 Jun 2
AUD,2014 Jun 8
CHF,2014 Jun 9
EUR,2014 Jun 9
EUR,2014 Jun 9
NZD,2008 Feb 5
CNY,2008 Feb 5
CNY,2008 Feb 6
CNY,2008 Feb 7
CNY,2008 Feb 10
JPY,2008 Feb 10
CNY,2008 Feb 11
USD,2008 Feb 18
CAD,2020 Jul 1
USD,2020 Jul 3
EUR,2020 Jul 14
JPY,2020 Jul 22
JPY,2020 Jul 23
CHF,2019 May 1
EUR,2019 May 1
EUR,2019 May 1
EUR,2019 May 1
JPY,2019 May 2
JPY,2019 May 5
GBP,2019 May 6
EUR,2019 May 8
CAD,2019 May 20
GBP,2019 May 27
USD,2019 May 27
CHF,2019 May 30
EUR,2019 May 30
EUR,2019 May 30
AUD,2010 Oct 2
AUD,2010 Oct 3
CNY,2010 Oct 3
CNY,2010 Oct 4
CNY,2010 Oct 5
CNY,2010 Oct 6
JPY,2010 Oct 10
CAD,2010 Oct 11
USD,2010 Oct 11
NZD,2010 Oct 24
CHF,2010 Oct 30
EUR,2010 Oct 30
GBP,2010 Oct 30
CNY,2011 Feb 1
CNY,2011 Feb 2
CNY,2011 Feb 3
CNY,2011 Feb 6
CNY,2011 Feb 7
JPY,2011 Feb 10
USD,2011 Feb 21
CAD,2010 Mar 14
USD,2010 Mar 14
JPY,2010 Mar 21
CHF,2010 Mar 27
EUR,2010 Mar 27
GBP,2010 Mar 27
CHF,2008 May 1
EUR,2008 May 1
EUR,2008 May 1
EUR,2008 May 1
CNY,2008 May 1
JPY,2008 May 4
GBP,2008 May 5
JPY,2008 May 5
EUR,2008 May 8
CHF,2008 May 12
EUR,2008 May 12
EUR,2008 May 12
CAD,2008 May 19
GBP,2008 May 26
USD,2008 May 26
NZD,2008 May 31
EUR,2015 Dec 8
JPY,2015 Dec 22
EUR,2015 Dec 24
NZD,2015 Dec 24
AUD,2015 Dec 24
CHF,2015 Dec 25
EUR,2015 Dec 25
EUR,2015 Dec 25
EUR,2015 Dec 25
GBP,2015 Dec 25
CAD,2015 Dec 25
USD,2015 Dec 25
NZD,2015 Dec 27
AUD,2015 Dec 27
GBP,2015 Dec 28
CAD,2015 Dec 28
JPY,2015 Dec 30
EUR,2015 Dec 31
NZD,2015 Dec 31
AUD,2015 Dec 31
CNY,2015 Dec 31
JPY,2015 Dec 31
CNY,2011 May 1
CHF,2011 May 2
EUR,2011 May 2
EUR,2011 May 2
GBP,2011 May 2
JPY,2011 May 2
JPY,2011 May 3
JPY,2011 May 4
CAD,2011 May 23
GBP,2011 May 30
USD,2011 May 30
NZD,2010 Apr 1
AUD,2010 Apr 1
CHF,2010 Apr 2
EUR,2010 Apr 2
GBP,2010 Apr 2
CAD,2010 Apr 2
NZD,2010 Apr 3
AUD,2010 Apr 3
NZD,2010 Apr 4
AUD,2010 Apr 4
CNY,2010 Apr 4
CHF,2010 Apr 5
EUR,2010 Apr 5
EUR,2010 Apr 5
EUR,2010 Apr 5
GBP,2010 Apr 5
AUD,2010 Apr 25
JPY,2010 Apr 28
CHF,2015 May 1
EUR,2015 May 1
EUR,2015 May 1
EUR,2015 May 1
JPY,2015 May 3
GBP,2015 May 4
JPY,2015 May 4
JPY,2015 May 5
EUR,2015 May 8
CHF,2015 May 14
EUR,2015 May 14
EUR,2015 May 14
CAD,2015 May 18
CHF,2015 May 25
EUR,2015 May 25
EUR,2015 May 25
GBP,2015 May 25
USD,2015 May 25
NZD,2015 May 31
CHF,2009 Jun 1
EUR,2009 Jun 1
EUR,2009 Jun 1
EUR,2009 Jun 2
AUD,2009 Jun 7
EUR,2009 Jun 29
NZD,2018 Apr 1
AUD,2018 Apr 1
CHF,2018 Apr 2
EUR,2018 Apr 2
EUR,2018 Apr 2
EUR,2018 Apr 2
GBP,2018 Apr 2
CNY,2018 Apr 4
CNY,2018 Apr 5
NZD,2018 Apr 24
AUD,2018 Apr 24
EUR,2018 Apr 25
JPY,2018 Apr 29
CNY,2018 Apr 29
CNY,2018 Apr 30
CAD,2014 Mar 9
USD,2014 Mar 9
JPY,2014 Mar 20
CHF,2014 Mar 29
EUR,2014 Mar 29
GBP,2014 Mar 29
CHF,2019 Aug 1
AUD,2019 Aug 4
CAD,2019 Aug 5
JPY,2019 Aug 11
EUR,2019 Aug 15
EUR,2019 Aug 15
GBP,2019 Aug 26
NZD,2022 Apr 2
AUD,2022 Apr 2
CNY,2022 Apr 3
CNY,2022 Apr 4
NZD,2022 Apr 14
AUD,2022 Apr 14
CHF,2022 Apr 15
GBP,2022 Apr 15
EUR,2022 Apr 15
CAD,2022 Apr 15
NZD,2022 Apr 17
AUD,2022 Apr 17
CHF,2022 Apr 18
GBP,2022 Apr 18
EUR,2022 Apr 18
EUR,2022 Apr 18
EUR,2022 Apr 18
NZD,2022 Apr 24
AUD,2022 Apr 24
EUR,2022 Apr 25
JPY,2022 Apr 28
CHF,2012 Aug 1
AUD,2012 Aug 5
CAD,2012 Aug 6
EUR,2012 Aug 15
EUR,2012 Aug 15
GBP,2012 Aug 27
CHF,2007 May 1
EUR,2007 May 1
EUR,2007 May 1
EUR,2007 May 1
CNY,2007 May 1
CNY,2007 May 2
JPY,2007 May 2
CNY,2007 May 3
JPY,2007 May 3
CNY,2007 May 6
GBP,2007 May 7
EUR,2007 May 8
CHF,2007 May 17
EUR,2007 May 17
EUR,2007 May 17
CAD,2007 May 21
CNY,2007 May 21
CHF,2007 May 28
EUR,2007 May 28
EUR,2007 May 28
GBP,2007 May 28
USD,2007 May 28
NZD,2014 Apr 5
AUD,2014 Apr 5
CNY,2014 Apr 6
NZD,2014 Apr 17
AUD,2014 Apr 17
CHF,2014 Apr 18
EUR,2014 Apr 18
GBP,2014 Apr 18
CAD,2014 Apr 18
NZD,2014 Apr 20
AUD,2014 Apr 20
CHF,2014 Apr 21
EUR,2014 Apr 21
EUR,2014 Apr 21
EUR,2014 Apr 21
GBP,2014 Apr 21
NZD,2014 Apr 24
AUD,2014 Apr 24
EUR,2014 Apr 25
JPY,2014 Apr 28
CNY,2014 Apr 30
CHF,2009 Jan 1
EUR,2009 Jan 1
EUR,2009 Jan 1
EUR,2009 Jan 1
GBP,2009 Jan 1
CAD,2009 Jan 1
USD,2009 Jan 1
NZD,2009 Jan 1
CNY,2009 Jan 1
JPY,2009 Jan 1
CHF,2009 Jan 2
EUR,2009 Jan 6
JPY,2009 Jan 11
USD,2009 Jan 19
AUD,2009 Jan 25
CNY,2009 Jan 25
CNY,2009 Jan 26
CNY,2009 Jan 27
CNY,2009 Jan 28
CNY,2009 Jan 29
JPY,2021 May 2
CNY,2021 May 2
GBP,2021 May 3
JPY,2021 May 3
CNY,2021 May 3
JPY,2021 May 4
CNY,2021 May 4
CHF,2021 May 13
EUR,2021 May 13
EUR,2021 May 13
CHF,2021 May 24
EUR,2021 May 24
EUR,2021 May 24
CAD,2021 May 24
GBP,2021 May 31
USD,2021 May 31
NZD,2016 Feb 7
CNY,2016 Feb 7
CNY,2016 Feb 8
CNY,2016 Feb 9
JPY,2016 Feb 10
CNY,2016 Feb 10
CNY,2016 Feb 11
USD,2016 Feb 15
AUD,2017 Oct 1
CNY,2017 Oct 1
CNY,2017 Oct 2
EUR,2017 Oct 3
CNY,2017 Oct 3
CNY,2017 Oct 4
CNY,2017 Oct 5
JPY,2017 Oct 8
CAD,2017 Oct 9
USD,2017 Oct 9
NZD,2017 Oct 22
CHF,2017 Oct 28
EUR,2017 Oct 28
GBP,2017 Oct 28
EUR,2017 Jun 2
NZD,2017 Jun 4
CHF,2017 Jun 5
EUR,2017 Jun 5
EUR,2017 Jun 5
AUD,2017 Jun 11
EUR,2017 Jun 29
EUR,2010 Nov 1
EUR,2010 Nov 1
JPY,2010 Nov 2
CAD,2010 Nov 7
USD,2010 Nov 7
EUR,2010 Nov 11
CAD,2010 Nov 11
USD,2010 Nov 11
JPY,2010 Nov 22
USD,2010 Nov 25
CAD,2010 Sep 6
USD,2010 Sep 6
JPY,2010 Sep 19
CNY,2010 Sep 21
CNY,2010 Sep 22
JPY,2010 Sep 22
CNY,2010 Sep 23
NZD,2010 Sep 25
CNY,2010 Sep 30
NZD,2021 Apr 1
AUD,2021 Apr 1
CHF,2021 Apr 2
EUR,2021 Apr 2
GBP,2021 Apr 2
CAD,2021 Apr 2
NZD,2021 Apr 3
AUD,2021 Apr 3
NZD,2021 Apr 4
AUD,2021 Apr 4
CNY,2021 Apr 4
CHF,2021 Apr 5
EUR,2021 Apr 5
EUR,2021 Apr 5
EUR,2021 Apr 5
GBP,2021 Apr 5
NZD,2021 Apr 25
AUD,2021 Apr 25
JPY,2021 Apr 28
NZD,2012 Feb 5
USD,2012 Feb 20
CNY,2007 Oct 1
CNY,2007 Oct 2
EUR,2007 Oct 3
CNY,2007 Oct 3
CNY,2007 Oct 4
JPY,2007 Oct 7
CAD,2007 Oct 8
USD,2007 Oct 8
NZD,2007 Oct 21
AUD,2007 Oct 27
CHF,2007 Oct 27
EUR,2007 Oct 27
GBP,2007 Oct 27
CAD,2020 Mar 8
USD,2020 Mar 8
JPY,2020 Mar 19
CHF,2020 Mar 28
EUR,2020 Mar 28
GBP,2020 Mar 28
EUR,2016 Jun 2
NZD,2016 Jun 5
CNY,2016 Jun 8
CNY,2016 Jun 9
AUD,2016 Jun 12
EUR,2016 Jun 29
CNY,2012 Apr 1
CNY,2012 Apr 2
CNY,2012 Apr 3
NZD,2012 Apr 5
AUD,2012 Apr 5
CHF,2012 Apr 6
EUR,2012 Apr 6
GBP,2012 Apr 6
CAD,2012 Apr 6
NZD,2012 Apr 8
AUD,2012 Apr 8
CHF,2012 Apr 9
EUR,2012 Apr 9
EUR,2012 Apr 9
EUR,2012 Apr 9
GBP,2012 Apr 9
NZD,2012 Apr 24
AUD,2012 Apr 24
EUR,2012 Apr 25
JPY,2012 Apr 29
CNY,2012 Apr 29
CNY,2012 Apr 30
CAD,2017 Jul 3
USD,2017 Jul 4
EUR,2017 Jul 14
JPY,2017 Jul 16
CNY,2022 Feb 1
CNY,2022 Feb 2
CNY,2022 Feb 3
NZD,2022 Feb 6
JPY,2022 Feb 10
USD,2022 Feb 21
JPY,2022 Feb 22
EUR,2016 Dec 8
JPY,2016 Dec 22
NZD,2016 Dec 25
AUD,2016 Dec 25
CHF,2016 Dec 26
EUR,2016 Dec 26
EUR,2016 Dec 26
GBP,2016 Dec 26
CAD,2016 Dec 26
USD,2016 Dec 26
NZD,2016 Dec 26
AUD,2016 Dec 26
GBP,2016 Dec 27
CAD,2016 Dec 27
CAD,2011 Jul 1
USD,2011 Jul 4
EUR,2011 Jul 14
JPY,2011 Jul 17
AUD,2011 Jul 31
CAD,2021 Jul 1
USD,2021 Jul 5
EUR,2021 Jul 14
JPY,2021 Jul 21
JPY,2021 Jul 22
AUD,2015 Aug 2
CAD,2015 Aug 3
GBP,2015 Aug 31
CNY,2014 Feb 2
CNY,2014 Feb 3
CNY,2014 Feb 4
NZD,2014 Feb 5
CNY,2014 Feb 5
JPY,2014 Feb 10
USD,2014 Feb 17
CNY,2018 Oct 1
CNY,2018 Oct 2
EUR,2018 Oct 3
CNY,2018 Oct 3
CNY,2018 Oct 4
AUD,2018 Oct 6
JPY,2018 Oct 7
CAD,2018 Oct 8
USD,2018 Oct 8
NZD,2018 Oct 21
CHF,2018 Oct 27
EUR,2018 Oct 27
GBP,2018 Oct 27
EUR,2007 Nov 1
EUR,2007 Nov 1
CAD,2007 Nov 4
USD,2007 Nov 4
JPY,2007 Nov 4
CAD,2007 Nov 11
USD,2007 Nov 12
USD,2007 Nov 22
JPY,2007 Nov 22
CAD,2014 Nov 2
USD,2014 Nov 2
JPY,2014 Nov 2
EUR,2014 Nov 11
CAD,2014 Nov 11
USD,2014 Nov 11
JPY,2014 Nov 23
USD,2014 Nov 27
CHF,2022 Aug 1
CAD,2022 Aug 1
JPY,2022 Aug 10
EUR,2022 Aug 15
EUR,2022 Aug 15
GBP,2022 Aug 29
CHF,2008 Aug 1
CAD,2008 Aug 4
EUR,2008 Aug 15
EUR,2008 Aug 15
GBP,2008 Aug 25
CHF,2018 May 1
EUR,2018 May 1
EUR,2018 May 1
EUR,2018 May 1
JPY,2018 May 2
JPY,2018 May 3
GBP,2018 May 7
EUR,2018 May 8
CHF,2018 May 10
EUR,2018 May 10
EUR,2018 May 10
CHF,2018 May 21
EUR,2018 May 21
EUR,2018 May 21
CAD,2018 May 21
GBP,2018 May 28
USD,2018 May 28
CAD,2010 Aug 2
GBP,2010 Aug 30
CAD,2019 Mar 10
USD,2019 Mar 10
JPY,2019 Mar 20
CHF,2019 Mar 30
EUR,2019 Mar 30
GBP,2019 Mar 30
CHF,2009 May 1
EUR,2009 May 1
EUR,2009 May 1
EUR,2009 May 1
JPY,2009 May 3
GBP,2009 May 4
JPY,2009 May 4
JPY,2009 May 5
EUR,2009 May 8
CAD,2009 May 18
CHF,2009 May 21
EUR,2009 May 21
EUR,2009 May 21
GBP,2009 May 25
USD,2009 May 25
CNY,2009 May 27
CNY,2009 May 28
NZD,2009 May 31
CHF,2010 Jan 1
EUR,2010 Jan 1
EUR,2010 Jan 1
EUR,2010 Jan 1
GBP,2010 Jan 1
CAD,2010 Jan 1
USD,2010 Jan 1
NZD,2010 Jan 3
EUR,2010 Jan 6
JPY,2010 Jan 10
USD,2010 Jan 18
AUD,2010 Jan 25
NZD,2007 Apr 5
AUD,2007 Apr 5
CHF,2007 Apr 6
EUR,2007 Apr 6
GBP,2007 Apr 6
CAD,2007 Apr 6
NZD,2007 Apr 8
AUD,2007 Apr 8
CHF,2007 Apr 9
EUR,2007 Apr 9
EUR,2007 Apr 9
EUR,2007 Apr 9
GBP,2007 Apr 9
NZD,2007 Apr 24
AUD,2007 Apr 24
EUR,2007 Apr 25
JPY,2007 Apr 29
CNY,2007 Apr 30
NZD,2009 Feb 5
JPY,2009 Feb 10
USD,2009 Feb 16
NZD,2019 Jun 2
CNY,2019 Jun 6
AUD,2019 Jun 9
CHF,2019 Jun 10
EUR,2019 Jun 10
EUR,2019 Jun 10
EUR,2017 Dec 8
NZD,2017 Dec 24
AUD,2017 Dec 24
CHF,2017 Dec 25
EUR,2017 Dec 25
EUR,2017 Dec 25
EUR,2017 Dec 25
GBP,2017 Dec 25
CAD,2017 Dec 25
USD,2017 Dec 25
NZD,2017 Dec 25
AUD,2017 Dec 25
CHF,2017 Dec 26
EUR,2017 Dec 26
EUR,2017 Dec 26
GBP,2017 Dec 26
CAD,2017 Dec 26
NZD,2017 Dec 31
AUD,2017 Dec 31
JPY,2017 Dec 31
CNY,2017 Dec 31
CAD,2014 Jul 1
USD,2014 Jul 4
EUR,2014 Jul 14
JPY,2014 Jul 20
EUR,2008 Dec 8
JPY,2008 Dec 22
EUR,2008 Dec 24
NZD,2008 Dec 24
AUD,2008 Dec 24
CHF,2008 Dec 25
EUR,2008 Dec 25
EUR,2008 Dec 25
EUR,2008 Dec 25
GBP,2008 Dec 25
CAD,2008 Dec 25
USD,2008 Dec 25
NZD,2008 Dec 25
AUD,2008 Dec 25
CHF,2008 Dec 26
EUR,2008 Dec 26
EUR,2008 Dec 26
GBP,2008 Dec 26
CAD,2008 Dec 26
JPY,2008 Dec 30
EUR,2008 Dec 31
NZD,2008 Dec 31
AUD,2008 Dec 31
CNY,2008 Dec 31
JPY,2008 Dec 31
EUR,2021 Nov 1
EUR,2021 Nov 1
JPY,2021 Nov 2
CAD,2021 Nov 7
USD,2021 Nov 7
EUR,2021 Nov 11
CAD,2021 Nov 11
USD,2021 Nov 11
JPY,2021 Nov 22
USD,2021 Nov 25
CNY,2020 Oct 1
AUD,2020 Oct 3
CNY,2020 Oct 4
CNY,2020 Oct 5
CNY,2020 Oct 6
USD,2020 Oct 12
CAD,2020 Oct 12
CHF,2020 Oct 24
EUR,2020 Oct 24
GBP,2020 Oct 24
NZD,2020 Oct 25
CAD,2018 Mar 11
USD,2018 Mar 11
JPY,2018 Mar 20
CHF,2018 Mar 24
EUR,2018 Mar 24
GBP,2018 Mar 24
NZD,2018 Mar 29
AUD,2018 Mar 29
CHF,2018 Mar 30
EUR,2018 Mar 30
GBP,2018 Mar 30
CAD,2018 Mar 30
NZD,2018 Mar 31
AUD,2018 Mar 31
NZD,2015 Feb 5
JPY,2015 Feb 10
USD,2015 Feb 16
CNY,2015 Feb 17
CNY,2015 Feb 18
CNY,2015 Feb 19
CNY,2015 Feb 22
CNY,2015 Feb 23
CNY,2019 Apr 4
NZD,2019 Apr 6
AUD,2019 Apr 6
NZD,2019 Apr 18
AUD,2019 Apr 18
CHF,2019 Apr 19
EUR,2019 Apr 19
GBP,2019 Apr 19
CAD,2019 Apr 19
NZD,2019 Apr 21
AUD,2019 Apr 21
CHF,2019 Apr 22
EUR,2019 Apr 22
EUR,2019 Apr 22
EUR,2019 Apr 22
GBP,2019 Apr 22
NZD,2019 Apr 24
AUD,2019 Apr 24
EUR,2019 Apr 25
JPY,2019 Apr 28
CNY,2019 Apr 30
EUR,2019 Dec 24
NZD,2019 Dec 24
AUD,2019 Dec 24
CHF,2019 Dec 25
EUR,2019 Dec 25
EUR,2019 Dec 25
EUR,2019 Dec 25
GBP,2019 Dec 25
CAD,2019 Dec 25
USD,2019 Dec 25
NZD,2019 Dec 25
AUD,2019 Dec 25
CHF,2019 Dec 26
EUR,2019 Dec 26
EUR,2019 Dec 26
GBP,2019 Dec 26
CAD,2019 Dec 26
JPY,2019 Dec 30
EUR,2019 Dec 31
NZD,2019 Dec 31
JPY,2019 Dec 31
CNY,2019 Dec 31
CNY,2019 Oct 1
CNY,2019 Oct 2
EUR,2019 Oct 3
CNY,2019 Oct 3
AUD,2019 Oct 5
AUD,2019 Oct 6
CNY,2019 Oct 6
JPY,2019 Oct 13
CAD,2019 Oct 14
USD,2019 Oct 14
JPY,2019 Oct 21
CHF,2019 Oct 26
EUR,2019 Oct 26
GBP,2019 Oct 26
NZD,2019 Oct 27
CNY,2015 Oct 1
AUD,2015 Oct 3
AUD,2015 Oct 4
CNY,2015 Oct 4
CNY,2015 Oct 5
CNY,2015 Oct 6
JPY,2015 Oct 11
CAD,2015 Oct 12
USD,2015 Oct 12
CHF,2015 Oct 24
EUR,2015 Oct 24
GBP,2015 Oct 24
NZD,2015 Oct 25
