currency,date
JPY,2012 Dec 31
CNY,2012 Dec 31
CAD,2018 Jul 2
USD,2018 Jul 4
JPY,2018 Jul 15
CAD,2007 Jul 2
USD,2007 Jul 4
JPY,2007 Jul 15
CAD,2008 Nov 2
USD,2008 Nov 2
JPY,2008 Nov 2
EUR,2008 Nov 11
CAD,2008 Nov 11
USD,2008 Nov 11
JPY,2008 Nov 23
USD,2008 Nov 27
NZD,2022 Jan 2
AUD,2022 Jan 2
JPY,2022 Jan 2
CNY,2022 Jan 2
EUR,2022 Jan 3
GBP,2022 Jan 3
CAD,2022 Jan 3
USD,2022 Jan 3
NZD,2022 Jan 3
EUR,2022 Jan 6
JPY,2022 Jan 9
USD,2022 Jan 17
AUD,2022 Jan 25
CNY,2022 Jan 30
CNY,2022 Jan 31
CHF,2008 Jan 1
EUR,2008 Jan 1
EUR,2008 Jan 1
EUR,2008 Jan 1
GBP,2008 Jan 1
CAD,2008 Jan 1
USD,2008 Jan 1
NZD,2008 Jan 1
CNY,2008 Jan 1
JPY,2008 Jan 1
CHF,2008 Jan 2
JPY,2008 Jan 2
JPY,2008 Jan 13
USD,2008 Jan 21
AUD,2008 Jan 27
CHF,2016 Jan 1
EUR,2016 Jan 1
EUR,2016 Jan 1
EUR,2016 Jan 1
GBP,2016 Jan 1
CAD,2016 Jan 1
USD,2016 Jan 1
NZD,2016 Jan 3
EUR,2016 Jan 6
JPY,2016 Jan 10
USD,2016 Jan 18
AUD,2016 Jan 25
CHF,2012 May 1
EUR,2012 May 1
EUR,2012 May 1
EUR,2012 May 1
JPY,2012 May 2
JPY,2012 May 3
GBP,2012 May 7
EUR,2012 May 8
CHF,2012 May 17
EUR,2012 May 17
EUR,2012 May 17
CAD,2012 May 21
CHF,2012 May 28
EUR,2012 May 28
EUR,2012 May 28
USD,2012 May 28
EUR,2009 Dec 8
JPY,2009 Dec 22
EUR,2009 Dec 24
NZD,2009 Dec 24
AUD,2009 Dec 24
CHF,2009 Dec 25
EUR,2009 Dec 25
EUR,2009 Dec 25
EUR,2009 Dec 25
GBP,2009 Dec 25
CAD,2009 Dec 25
USD,2009 Dec 25
NZD,2009 Dec 27
AUD,2009 Dec 27
GBP,2009 Dec 28
CAD,2009 Dec 28
JPY,2009 Dec 30
EUR,2009 Dec 31
NZD,2009 Dec 31
AUD,2009 Dec 31
CNY,2009 Dec 31
JPY,2009 Dec 31
CAD,2015 Jul 1
USD,2015 Jul 3
EUR,2015 Jul 14
JPY,2015 Jul 19
CAD,2020 Nov 1
USD,2020 Nov 1
JPY,2020 Nov 2
EUR,2020 Nov 11
CAD,2020 Nov 11
USD,2020 Nov 11
JPY,2020 Nov 22
USD,2020 Nov 26
NZD,2012 Jun 3
GBP,2012 Jun 4
GBP,2012 Jun 5
AUD,2012 Jun 10
CNY,2012 Jun 21
EUR,2012 Jun 29
CNY,2022 May 1
GBP,2022 May 2
JPY,2022 May 2
CNY,2022 May 2
JPY,2022 May 3
CNY,2022 May 3
JPY,2022 May 4
CAD,2022 May 23
CHF,2022 May 26
EUR,2022 May 26
EUR,2022 May 26
USD,2022 May 30
CAD,2009 Mar 8
USD,2009 Mar 8
JPY,2009 Mar 19
CHF,2009 Mar 28
EUR,2009 Mar 28
GBP,2009 Mar 28
CAD,2019 Sep 2
USD,2019 Sep 2
CNY,2019 Sep 12
JPY,2019 Sep 15
JPY,2019 Sep 22
NZD,2019 Sep 28
CNY,2019 Sep 30
CAD,2008 Mar 9
USD,2008 Mar 9
JPY,2008 Mar 19
NZD,2008 Mar 20
AUD,2008 Mar 20
CHF,2008 Mar 21
EUR,2008 Mar 21
GBP,2008 Mar 21
CAD,2008 Mar 21
NZD,2008 Mar 23
AUD,2008 Mar 23
CHF,2008 Mar 24
EUR,2008 Mar 24
EUR,2008 Mar 24
EUR,2008 Mar 24
GBP,2008 Mar 24
CHF,2008 Mar 29
EUR,2008 Mar 29
GBP,2008 Mar 29
CNY,2019 Feb 3
CNY,2019 Feb 4
NZD,2019 Feb 5
CNY,2019 Feb 5
CNY,2019 Feb 6
CNY,2019 Feb 7
JPY,2019 Feb 10
USD,2019 Feb 18
CNY,2008 Oct 1
CNY,2008 Oct 2
EUR,2008 Oct 3
AUD,2008 Oct 4
AUD,2008 Oct 5
JPY,2008 Oct 12
USD,2008 Oct 13
CAD,2008 Oct 13
CHF,2008 Oct 25
EUR,2008 Oct 25
GBP,2008 Oct 25
NZD,2008 Oct 26
CAD,2007 Sep 3
USD,2007 Sep 3
JPY,2007 Sep 16
JPY,2007 Sep 23
CNY,2007 Sep 24
NZD,2007 Sep 29
AUD,2007 Sep 30
CNY,2007 Sep 30
CAD,2022 Sep 5
USD,2022 Sep 5
CNY,2022 Sep 11
JPY,2022 Sep 18
JPY,2022 Sep 22
NZD,2022 Sep 24
CAD,2018 Sep 3
USD,2018 Sep 3
JPY,2018 Sep 16
JPY,2018 Sep 23
CNY,2018 Sep 23
NZD,2018 Sep 29
AUD,2018 Sep 30
CNY,2018 Sep 30
CAD,2011 Mar 13
USD,2011 Mar 13
EUR,2011 Mar 17
JPY,2011 Mar 20
CHF,2011 Mar 26
EUR,2011 Mar 26
GBP,2011 Mar 26
CHF,2018 Jan 1
EUR,2018 Jan 1
EUR,2018 Jan 1
EUR,2018 Jan 1
GBP,2018 Jan 1
