time,currency,event,impact
00:30:00,CNY,Industrial Production y/y,high
00:30:00,CNY,Fixed Asset Investment ytd/y,medium
00:30:00,CNY,Retail Sales y/y,low
02:00:00,EUR,German Final CPI m/m,low
02:45:00,EUR,French Final CPI m/m,low
03:15:00,CHF,PPI m/m,medium
04:00:00,EUR,ECB Monthly Bulletin,low
05:35:00,GBP,10-y Bond Auction,low
08:30:00,CAD,NHPI m/m,medium
08:30:00,USD,Unemployment Claims,high
10:00:00,USD,JOLTS Job Openings,medium
10:30:00,CAD,BOC Review,low
11:00:00,USD,Crude Oil Inventories,medium
12:30:00,USD,FOMC Member Plosser Speaks,medium
12:45:00,USD,Fed Chair Yellen Speaks,high
13:01:00,USD,30-y Bond Auction,low
13:59:00,USD,Federal Budget Balance,low
15:05:00,CAD,Gov Council Member Wilkins Speaks,medium
15:30:00,USD,FOMC Member Kocherlakota Speaks,medium
