time,currency,event,impact
00:30:00,JPY,Revised Industrial Production m/m,low
01:01:00,EUR,French Bank Holiday,holiday
05:00:00,EUR,Industrial Production m/m,medium
13:00:00,EUR,ECB President Draghi Speaks,high
19:01:00,GBP,BRC Retail Sales Monitor y/y,medium
21:30:00,AUD,Monetary Policy Meeting Minutes,high
21:30:00,AUD,New Motor Vehicle Sales m/m,medium
22:01:00,CNY,Foreign Direct Investment ytd/y,low
22:17:00,CNY,New Loans,medium
22:17:00,CNY,M2 Money Supply y/y,low
22:58:00,JPY,Monetary Policy Statement,high
