time,currency,event,impact
02:00:00,EUR,German Final CPI m/m,low
02:45:00,EUR,French Prelim Private Payrolls q/q,medium
02:50:00,EUR,French Prelim GDP q/q,medium
03:00:00,EUR,Spanish Flash GDP q/q,low
04:00:00,EUR,Italian Prelim GDP q/q,low
05:00:00,EUR,Final CPI y/y,medium
05:00:00,EUR,Final Core CPI y/y,medium
05:00:00,EUR,Flash GDP q/q,medium
08:30:00,CAD,Manufacturing Sales m/m,medium
08:30:00,CAD,New Motor Vehicle Sales m/m,low
08:30:00,USD,Core Retail Sales m/m,high
08:30:00,USD,Fed Chairman Bernanke Speaks,high
08:30:00,USD,Retail Sales m/m,high
08:30:00,USD,Import Prices m/m,medium
09:25:00,EUR,ECB President Trichet Speaks,high
09:55:00,USD,Prelim UoM Consumer Sentiment,high
09:55:00,USD,Prelim UoM Inflation Expectations,low
10:00:00,USD,Assist Treasury Sec Kashkari Speaks,medium
10:00:00,USD,Business Inventories m/m,medium
10:35:00,USD,Natural Gas Storage,low
12:30:00,USD,FOMC Member Pianalto Speaks,medium
