time,currency,event,impact
17:30:00,AUD,AIG Manufacturing Index,low
18:30:00,AUD,MI Inflation Gauge m/m,low
19:30:00,AUD,Company Operating Profits q/q,low
20:00:00,CNY,Manufacturing PMI,high
20:30:00,JPY,Average Cash Earnings y/y,medium
21:30:00,CNY,Caixin Manufacturing PMI,medium
23:30:00,JPY,BOJ Gov Shirakawa Speaks,medium
