time,currency,event,impact
02:00:00,EUR,German PPI m/m,low
01:01:00,All,WEF Annual Meetings,medium
04:30:00,GBP,Retail Sales m/m,high
08:30:00,CAD,CPI m/m,high
08:30:00,CAD,Core Retail Sales m/m,high
08:30:00,CAD,Common CPI y/y,medium
08:30:00,CAD,Median CPI y/y,medium
08:30:00,CAD,Retail Sales m/m,medium
08:30:00,CAD,Trimmed CPI y/y,medium
08:32:00,CAD,Core CPI m/m,low
09:00:00,USD,FOMC Member Harker Speaks,medium
12:00:00,USD,President Trump Speaks,high
