time,currency,event,impact
09:00:00,JPY,BOJ Gov Kuroda Speaks,high
09:00:00,USD,Fed Chair Yellen Speaks,high
01:01:00,All,IMF Meetings,low
11:20:00,EUR,German Buba President Weidmann Speaks,medium
19:01:00,GBP,Rightmove HPI m/m,low
21:30:00,CNY,CPI y/y,medium
21:30:00,CNY,PPI y/y,medium
