time,currency,event,impact
02:45:00,EUR,French Industrial Production m/m,medium
04:00:00,EUR,Italian Industrial Production m/m,low
09:00:00,USD,FOMC Meeting Minutes,high
10:30:00,USD,Crude Oil Inventories,medium
13:00:00,USD,10-y Bond Auction,medium
15:50:00,USD,Federal Budget Balance,medium
18:34:00,NZD,BusinessNZ Manufacturing Index,medium
19:50:00,JPY,Core Machinery Orders m/m,medium
19:50:00,JPY,M2 Money Stock y/y,low
19:50:00,JPY,PPI y/y,low
21:00:00,AUD,MI Inflation Expectations,medium
21:01:00,CNY,New Loans,medium
21:01:00,CNY,M2 Money Supply y/y,low
21:30:00,AUD,Employment Change,high
21:30:00,AUD,Unemployment Rate,high
22:30:00,NZD,REINZ HPI m/m,medium
23:45:00,JPY,30-y Bond Auction,low
