time,currency,event,impact
01:25:00,CNY,Foreign Direct Investment ytd/y,low
04:30:00,GBP,Claimant Count Change,high
04:30:00,GBP,Average Earnings Index 3m/y,medium
04:30:00,GBP,Unemployment Rate,low
05:10:00,EUR,German 10-y Bond Auction,low
05:30:00,GBP,BOE Gov King Speaks,high
05:30:00,GBP,BOE Monetary Policy Report,high
08:30:00,CAD,New Motor Vehicle Sales m/m,low
08:30:00,USD,Core Retail Sales m/m,high
08:30:00,USD,Retail Sales m/m,high
10:00:00,USD,Fed Chairman Bernanke Testifies,high
10:00:00,USD,Business Inventories m/m,medium
10:00:00,USD,Fed Monetary Policy Report,low
10:30:00,USD,Crude Oil Inventories,low
16:30:00,AUD,MI Inflation Expectations,low
16:45:00,NZD,Core Retail Sales m/m,high
16:45:00,NZD,Retail Sales m/m,high
16:45:00,NZD,Core Retail Sales q/q,low
16:45:00,NZD,Retail Sales q/q,low
18:00:00,NZD,BusinessNZ Manufacturing Index,low
18:50:00,JPY,Prelim GDP q/q,high
18:50:00,JPY,Prelim GDP Price Index y/y,medium
19:01:00,GBP,RICS House Price Balance,medium
19:30:00,AUD,HPI q/q,low
19:30:00,AUD,RBA Bulletin,low
