time,currency,event,impact
02:00:00,EUR,German PPI m/m,medium
01:01:00,EUR,ECOFIN Meetings,low
04:30:00,GBP,Public Sector Net Borrowing,medium
04:30:00,GBP,M4 Money Supply m/m,low
08:30:00,CAD,Leading Index m/m,medium
08:30:00,CAD,Wholesale Sales m/m,medium
08:30:00,USD,Building Permits,high
08:30:00,USD,PPI m/m,high
08:30:00,USD,Core PPI m/m,medium
08:30:00,USD,Housing Starts,medium
09:00:00,CAD,BOC Rate Statement,high
09:00:00,CAD,Overnight Rate,high
11:00:00,USD,FOMC Member Warsh Speaks,medium
15:15:00,GBP,BOE Gov King Speaks,high
17:45:00,NZD,Visitor Arrivals m/m,low
19:30:00,AUD,MI Leading Index m/m,medium
20:30:00,AUD,New Motor Vehicle Sales m/m,low
22:00:00,NZD,Credit Card Spending y/y,low
